genre,category,strategy,elo,cpu
manager_var,stocks_20_days_p100_n100,weak_ewa_t0_d0_r050_n50_long_manager,1769.2341113260825,39.4
manager_var,stocks_20_days_p100_n100,weak_pm_t0_d0_r050_n50_long_manager,1689.4270117260696,34.1
manager_var,stocks_20_days_p100_n100,weak_ewa_t0_d0_r025_n50_long_manager,1681.8613880353737,37.2
manager_var,stocks_20_days_p100_n100,weak_sk_ld_pcov_d0_n100_long_manager,1608.4901338632308,14.7
manager_var,stocks_20_days_p100_n100,weak_pm_t0_d0_r025_n50_long_manager,1600.615504914,-1.0
manager_var,stocks_20_days_p100_n100,ppo_ewa_d0_r025_n50_vol_long_manager,1579.6005712215842,-1.0
manager_var,stocks_20_days_p100_n100,schur_weak_emp_d0_r050_n25_g100_long_manager,1538.630904101884,218.6
manager_var,stocks_20_days_p100_n100,hrp_weak_emp_d0_r050_n25_long_manager,1536.043025350946,109.9
manager_var,stocks_20_days_p100_n100,schur_weak_emp_d0_r050_n25_g050_long_manager,1530.838062391383,205.8
manager_var,stocks_20_days_p100_n100,ppo_pm_t0_d0_r025_n50_vol_long_manager,1498.7664820420464,23.0
manager_var,stocks_20_days_p100_n100,schur_weak_emp_d0_r025_n50_g100_long_manager,1491.771243505443,162.4
manager_var,stocks_20_days_p100_n100,schur_weak_pm_t0_d0_r050_n25_g100_long_manager,1487.1816069955241,255.8
manager_var,stocks_20_days_p100_n100,hrp_weak_pm_t0_d0_r050_n25_long_manager,1486.7116680165814,175.4
manager_var,stocks_20_days_p100_n100,schur_weak_emp_d0_r025_n50_g050_long_manager,1470.9624101848149,147.2
manager_var,stocks_20_days_p100_n100,hrp_weak_pm_t0_d0_r025_n50_long_manager,1463.3612151769207,147.7
manager_var,stocks_20_days_p100_n100,schur_weak_pm_t0_d0_r025_n50_g050_long_manager,1461.4865111605488,-1.0
manager_var,stocks_20_days_p100_n100,schur_weak_pm_t0_d0_r025_n50_g100_long_manager,1458.9409302962256,195.1
manager_var,stocks_20_days_p100_n100,schur_diag_weak_pm_t0_d0_r025_n50_g025_long_manager,1449.4560013966707,-1.0
manager_var,stocks_20_days_p100_n100,schur_weak_pm_t0_d0_r050_n25_g050_long_manager,1446.9001069560252,-1.0
manager_var,stocks_20_days_p100_n100,hrp_weak_emp_d0_r025_n50_long_manager,1431.5050244674726,-1.0
manager_var,stocks_20_days_p100_n100,schur_diag_weak_pm_t0_d0_r025_n50_g050_long_manager,1406.0008770826373,-1.0
manager_var,stocks_20_days_p100_n100,weak_sk_glcv_pcov_d0_n100_long_manager,1405.8056424186898,570.8
manager_var,stocks_20_days_p100_n100,weak_sk_glcv_pcov_d0_n100_t0_long_manager,1396.6116483392525,297.7
manager_var,stocks_20_days_p100_n100,schur_weak_emp_d0_r025_n50_g025_long_manager,1394.2107989528242,-1.0
manager_var,stocks_20_days_p100_n100,schur_weak_pm_t0_d0_r050_n25_g025_long_manager,1373.5427300642446,-1.0
manager_var,stocks_20_days_p100_n100,weak_sk_mcd_pcov_d0_n100_long_manager,1342.0443900135244,123.3
manager_var,m6_daily_p100_n200_implied,weak_sk_mcd_pcov_d0_n100_long_manager,1843.8664867398993,123.3
manager_var,m6_daily_p100_n200_implied,ppo_pm_t0_d0_r025_n50_vol_long_manager,1796.8709102790735,23.0
manager_var,m6_daily_p100_n200_implied,ppo_ewa_d0_r025_n50_vol_long_manager,1773.3871805858444,-1.0
manager_var,m6_daily_p100_n200_implied,weak_pm_t0_d0_r050_n50_long_manager,1757.9843895897122,34.1
manager_var,m6_daily_p100_n200_implied,weak_pm_t0_d0_r025_n50_long_manager,1754.8299934962754,-1.0
manager_var,m6_daily_p100_n200_implied,weak_ewa_t0_d0_r025_n50_long_manager,1751.2283140693319,37.2
manager_var,m6_daily_p100_n200_implied,weak_sk_glcv_pcov_d0_n100_long_manager,1749.7735466376348,570.8
manager_var,m6_daily_p100_n200_implied,weak_ewa_t0_d0_r050_n50_long_manager,1749.7445756353839,39.4
manager_var,m6_daily_p100_n200_implied,weak_sk_lw_pcov_d0_n100_long_manager,1694.959393543202,-1.0
manager_var,m6_daily_p100_n200_implied,weak_sk_glcv_pcov_d0_n100_t0_long_manager,1690.2412056236917,297.7
manager_var,m6_daily_p100_n200_implied,schur_diag_diag_ewa_r050_n25_s5_g000_long_manager,1477.473713112909,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r025_n50_s5_g000_long_manager,1474.8206247582004,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r050_n25_s5_g010_long_manager,1474.3979453093511,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_vol_ewa_r050_n25_s5_g100_long_manager,1470.340744606427,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r050_n25_s5_g100_long_manager,1469.147068970927,-1.0
manager_var,m6_daily_p100_n200_implied,schur_vol_vol_ewa_r050_n25_s5_g050_long_manager,1464.3127711523632,-1.0
manager_var,m6_daily_p100_n200_implied,hrp_weak_weak_pm_t0_d0_r025_n50_s5_long_manager,1462.8212906733734,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r050_n25_s5_g000_long_manager,1459.8077157044165,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_weak_pm_t0_r050_n25_s5_g050_long_manager,1459.6242597661162,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r025_n50_s5_g050_long_manager,1454.1981250999795,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r025_n50_s5_g100_long_manager,1452.4484787501003,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r025_n50_s5_g010_long_manager,1452.295896933143,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_diag_ewa_r050_n25_s5_g010_long_manager,1452.1289916407277,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r025_n50_s5_g050_long_manager,1451.6609919291768,-1.0
manager_var,m6_daily_p100_n200_implied,hrp_vol_vol_pm_t0_d0_r025_n50_s5_long_manager,1451.0854547131128,-1.0
manager_var,m6_daily_p100_n200_implied,molyboga_r025_n50_long_manager,1450.1214876516592,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_diag_ewa_r050_n25_s5_g050_long_manager,1449.4766843464051,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_weak_pm_t0_r050_n25_s5_g000_long_manager,1447.9663561094828,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r050_n25_s5_g050_long_manager,1444.4236253009792,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_vol_ewa_r050_n25_s5_g050_long_manager,1443.9625980603446,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_diag_ewa_r050_n25_s5_g100_long_manager,1443.7427709696426,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r025_n50_s5_g010_long_manager,1442.4162469701776,-1.0
manager_var,m6_daily_p100_n200_implied,hrp_vol_vol_pm_t0_d0_r025_n50_s50_long_manager,1441.9575849877726,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_weak_pm_t0_r050_n25_s5_g100_long_manager,1440.2054639279781,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_vol_ewa_r050_n25_s5_g010_long_manager,1437.844285168549,-1.0
manager_var,m6_daily_p100_n200_implied,schur_diag_weak_pm_t0_r050_n25_s5_g010_long_manager,1436.3374338747599,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r025_n50_s5_g100_long_manager,1436.2275847358253,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r050_n25_s5_g050_long_manager,1434.873086328915,-1.0
manager_var,m6_daily_p100_n200_implied,equal_long_manager,1431.8159321600167,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r025_n50_s5_g000_long_manager,1431.0059237657617,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r050_n25_s5_g000_long_manager,1428.2645933471524,-1.0
manager_var,m6_daily_p100_n200_implied,schur_vol_vol_ewa_r050_n25_s5_g010_long_manager,1426.804740473319,-1.0
manager_var,m6_daily_p100_n200_implied,schur_vol_vol_ewa_r050_n25_s5_g000_long_manager,1425.9948418956285,-1.0
manager_var,m6_daily_p100_n200_implied,hrp_weak_vol_ewa_r025_n50_s50_long_manager,1424.7877446692748,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_ewa_r050_n25_s5_g010_long_manager,1424.0645561314402,-1.0
manager_var,m6_daily_p100_n200_implied,molyboga_r001_n100_long_manger,1423.9397835620682,-1.0
manager_var,m6_daily_p100_n200_implied,schur_vol_vol_ewa_r050_n25_s5_g100_long_manager,1418.0425875386677,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_vol_ewa_r050_n25_s5_g000_long_manager,1416.274532743047,-1.0
manager_var,m6_daily_p100_n200_implied,schur_weak_weak_pm_t0_r050_n25_s5_g100_long_manager,1415.2455441720024,-1.0
manager_var,m6_daily_p100_n200_implied,rfl_hrp_vol_long_manager_n200,1353.922333181382,-1.0
manager_var,m6_daily_p100_n200_implied,rfl_hrp_var_long_manager_n200,1240.831608607375,-1.0
manager_var,m6_stocks_daily_p25_n100,ppo_pm_t0_d0_r025_n50_vol_long_manager,1936.7370336223464,23.0
manager_var,m6_stocks_daily_p25_n100,weak_pm_t0_d0_r025_n50_long_manager,1823.564678195855,-1.0
manager_var,m6_stocks_daily_p25_n100,ppo_ewa_d0_r025_n50_vol_long_manager,1803.054512607288,-1.0
manager_var,m6_stocks_daily_p25_n100,weak_pm_t0_d0_r050_n50_long_manager,1770.222458011202,34.1
manager_var,m6_stocks_daily_p25_n100,weak_ewa_t0_d0_r025_n50_long_manager,1761.8165758572286,37.2
manager_var,m6_stocks_daily_p25_n100,ppo_sk_mcd_pcov_d0_n100_vol_long_manager,1722.036778957632,230.1
manager_var,m6_stocks_daily_p25_n100,ppo_sk_glcv_pcov_d0_n100_vol_long_manager,1702.8058229423882,372.4
manager_var,m6_stocks_daily_p25_n100,weak_sk_glcv_pcov_d0_n100_t0_long_manager,1695.6492150096492,297.7
manager_var,m6_stocks_daily_p25_n100,weak_sk_glcv_pcov_d0_n100_long_manager,1694.9306649136895,570.8
manager_var,m6_stocks_daily_p25_n100,weak_ewa_t0_d0_r050_n50_long_manager,1687.47503720865,39.4
manager_var,m6_stocks_daily_p25_n100,weak_sk_mcd_pcov_d0_n100_long_manager,1672.3773704604257,123.3
manager_var,m6_stocks_daily_p25_n100,hrp_weak_pm_t0_d0_r025_n50_long_manager,1621.6629213687531,147.7
manager_var,m6_stocks_daily_p25_n100,hrp_weak_pm_t0_d0_r050_n25_long_manager,1621.1642591987168,175.4
manager_var,m6_stocks_daily_p25_n100,ppo_sk_glcv_pcov_d0_n100_t0_vol_long_manager,1615.458805423091,708.7
manager_var,m6_stocks_daily_p25_n100,schur_weak_emp_d0_r050_n25_g100_long_manager,1566.6814177287006,218.6
manager_var,m6_stocks_daily_p25_n100,schur_weak_emp_d0_r025_n50_g100_long_manager,1537.7387504351022,162.4
manager_var,m6_stocks_daily_p25_n100,schur_weak_pm_t0_d0_r025_n50_g050_long_manager,1512.0918439757716,-1.0
