r_ord,sk_hot,hrp_hot,weak_hot,h_ord,diag_hot,diagxy_hot,s_ord,d_ord,glcv_hot,quad_hot,equal_hot,ewa_hot,ppo_hot,diagxx_hot,volxy_hot,weakxx_hot,molyboga_hot,schur_hot,n_ord,pm_hot,l_ord,slurp_hot,g_ord,vol_hot,rp_hot,lw_hot,mcd_hot,p_ord,tzero_hot,ldp_hot,volxx_hot,weakxz_hot,weakxy_hot,sharpe_hot,elo
50.0,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0,,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1603.7297195060585
50.0,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1600.8406929729617
25.0,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,1.0,,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1599.369350006955
50.0,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1599.0661492833633
5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.3373833978706
50.0,0.0,0.0,1.0,,0.0,0.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,,0.0,100.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1594.930109646238
25.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1592.7100151772393
25.0,0.0,1.0,1.0,,0.0,0.0,50.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1592.5667006894428
50.0,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1591.9705027103919
50.0,0.0,0.0,1.0,,0.0,0.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,,0.0,50.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1590.106223700346
